target,solutions,rank,rating,dictionaryName,due,level
inquieto,restless,106,1200,personal,29 Feb 2024,8
atual,current,107,1200,personal,22 Feb 2024,8
em disparada,on the run,108,1200,personal,25 Nov 2023,5
meter,to enclose; enclose,109,1200,personal,23 Nov 2023,4
implacável,relentless,110,1200,personal,23 Dec 2023,7
chutes,kicks,111,1200,personal,23 Feb 2024,8
faixa,range,112,1200,personal,23 Feb 2024,8
contagem,score,113,1200,personal,23 Feb 2024,8
em torno,around,114,1200,personal,23 Feb 2024,8
encaixar,to fit in; fit in,115,1200,personal,2 Dec 2023,5
destravado,unlocked,116,1200,personal,27 Mar 2024,8
empoderador,to empower; empower,117,1200,personal,25 Nov 2023,5
curto prazo,short term,118,1200,personal,25 Feb 2024,8
ampla,wide,119,1200,personal,23 Feb 2024,8
uma amostra,a sample,120,1200,personal,23 Feb 2024,8
isoladamente,isolated,121,1200,personal,25 Feb 2024,8
remoer,to brood; brood,122,1200,personal,26 Nov 2023,4
alcançadas,reached,123,1200,personal,4 Mar 2024,8
mensuráveis,measurable,124,1200,personal,25 Feb 2024,8
largar,to drop; drop,125,1200,personal,23 Feb 2024,8
viável,viable,126,1200,personal,25 Feb 2024,8
rever,to review; review,127,1200,personal,23 Feb 2024,8
aconselhável,advisable,128,1200,personal,25 Feb 2024,8
requerer,to require; require,129,1200,personal,20 Mar 2024,8
roncando,snoring,130,1200,personal,25 Feb 2024,8
um padrão,a pattern,131,1200,personal,21 Dec 2023,7
desperdício,waste,132,1200,personal,25 Feb 2024,8
o quanto antes,as soon as possible,133,1200,personal,28 Nov 2023,7
torcemos,we twist; we support; we cheer,134,1200,personal,25 Nov 2023,5
escorrega,slide,135,1200,personal,27 Mar 2024,8
sonâmbulos,sleepwalkers,136,1200,personal,23 Feb 2024,8
descemos,we go down,137,1200,personal,22 Dec 2023,7
á medida,measure,138,1200,personal,22 Dec 2023,7
desacelera,slow down,139,1200,personal,25 Feb 2024,8
alucinação,hallucination,140,1200,personal,24 Nov 2023,4
de repente,suddenly,141,1200,personal,4 Mar 2024,8
na passagem,on the way,142,1200,personal,4 Mar 2024,8
ao acaso,by chance,143,1200,personal,4 Mar 2024,8
armario,cabinet,144,1200,personal,2 Dec 2023,5
enxergam,see,145,1200,personal,17 Jan 2024,7
tripulações,crews,146,1200,personal,28 Nov 2023,4
decorrer,to elapse; elapse,147,1200,personal,21 Dec 2023,7
diretrizes,guidelines,148,1200,personal,20 Mar 2024,8
malhação,workout,149,1200,personal,28 Mar 2024,8
hercúleo,hurculean,150,1200,personal,26 Feb 2024,8
setor,sector,151,1200,personal,26 Feb 2024,8
contaproducente,counterproductive,152,1200,personal,26 Feb 2024,8
basta,enough,153,1200,personal,26 Feb 2024,8
ora,now,154,1200,personal,26 Feb 2024,8
suposta sapiência,supposed wisdom,155,1200,personal,4 Mar 2024,8
duradouras,lasting,156,1200,personal,4 Mar 2024,8
redondo,round,157,1200,personal,4 Mar 2024,8
provocação,provocation,158,1200,personal,26 Feb 2024,8
endurecem,harden,159,1200,personal,12 Dec 2023,6
palpitações,palpitations,160,1200,personal,26 Feb 2024,8
tolice,nonsense,161,1200,personal,20 Mar 2024,8
lesão prolongada,prolonged lesion,162,1200,personal,20 Mar 2024,8
contudo,however,163,1200,personal,12 Dec 2023,6
imprensa,press,164,1200,personal,27 Nov 2023,4
comunicado,announcement,165,1200,personal,12 Dec 2023,6
redigir,to redeem; redeem,166,1200,personal,28 Nov 2023,7
cotidiano,daily,167,1200,personal,26 Feb 2024,8
tuítes,tweets,168,1200,personal,20 Mar 2024,8
acampamento,camping,169,1200,personal,7 Dec 2023,7
trata,treat,170,1200,personal,27 Feb 2024,8
vestiários,locker rooms,171,1200,personal,20 Mar 2024,8
vencer,to win; win,172,1200,personal,20 Mar 2024,8
vício,addiction,173,1200,personal,20 Mar 2024,8
a longo prazo,long-term; long term; longterm,174,1200,personal,30 Jun 2024,9
poupar,to save; save,175,1200,personal,20 Mar 2024,8
legiões,legions,176,1200,personal,20 Mar 2024,8
desregrado,unrighteous,177,1200,personal,20 Jan 2024,7
coado,strained,178,1200,personal,20 Mar 2024,8
sombra,shadow,179,1200,personal,4 Mar 2024,8
viciante,addictive,180,1200,personal,26 Feb 2024,8
prejudicial,harmful,181,1200,personal,28 Feb 2024,8
chiclete,gum,182,1200,personal,27 Feb 2024,8
entretanto,nonetheless,183,1200,personal,20 Mar 2024,8
velocista,sprinter,184,1200,personal,26 Feb 2024,8
largada,dropped,185,1200,personal,23 Nov 2023,7
reforço,reinforcement,186,1200,personal,26 Feb 2024,8
resistência,resistance,187,1200,personal,28 Feb 2024,8
potencializadora,potentiate,188,1200,personal,26 Feb 2024,8
um fuso horário,a time zone,189,1200,personal,26 Feb 2024,8
estreia,debut,190,1200,personal,25 Nov 2023,5
rastejar,to crawl; crawl,191,1200,personal,27 Feb 2024,8
pouquíssimas,very few,192,1200,personal,26 Feb 2024,8
costuma,usually,193,1200,personal,28 Nov 2023,4
vespertino,afternoon,194,1200,personal,26 Feb 2024,8
ao passo que,while,195,1200,personal,27 Mar 2024,8
matutino,morning,196,1200,personal,25 Nov 2023,5
cotovias,larks,197,1200,personal,25 Nov 2023,5
quicando,bouncing,198,1200,personal,26 Feb 2024,8
o cesto,the basket,199,1200,personal,26 Feb 2024,8
prorrogação,extension,200,1200,personal,22 Jan 2024,7
arremessar,to throw; throw,201,1200,personal,26 Feb 2024,8
derradeiros,ultimate,202,1200,personal,26 Feb 2024,8
rachar,to crack; crack,203,1200,personal,27 Feb 2024,8
muralhas,walls,204,1200,personal,23 Nov 2023,7
fará,will make,205,1200,personal,28 Feb 2024,8
arrastava,dragged,206,1200,personal,21 Dec 2023,7
auge,peak,207,1200,personal,28 Feb 2024,8
jogar os dados,to roll the dice; roll the dice,208,1200,personal,25 Nov 2023,5
o técnico,the coach,209,1200,personal,28 Feb 2024,8
os desafiadores,the challengers,210,1200,personal,28 Feb 2024,8
encharcados,soaked,211,1200,personal,26 Feb 2024,8
ensurdecedor,deafening; deafen,212,1200,personal,29 Jun 2024,9
multidão,crowd,213,1200,personal,26 Feb 2024,8
meros,mere,214,1200,personal,28 Feb 2024,8
dirá,will say,215,1200,personal,28 Feb 2024,8
cadência,cadence,216,1200,personal,28 Feb 2024,8
turno,shift,217,1200,personal,23 Nov 2023,3
suprimirá,will suppress,218,1200,personal,7 Dec 2023,7
fuso,spindle,219,1200,personal,25 Nov 2023,5
remar,to row; row,220,1200,personal,24 Dec 2023,7
derrame,leakage,221,1200,personal,27 Mar 2024,8
agudo,acute,222,1200,personal,27 Feb 2024,8
malhar,to work out; work out,223,1200,personal,29 Feb 2024,8
lotado,crowded,224,1200,personal,27 Feb 2024,8
suprimidos,suppressed,225,1200,personal,15 Jan 2024,7
descompassa,mismatch,226,1200,personal,23 Nov 2023,2
gráfico,graphic,227,1200,personal,27 Feb 2024,8
desencadeia,triggers,228,1200,personal,25 Nov 2023,5
má,bad,229,1200,personal,29 Feb 2024,8
comprimento,length,230,1200,personal,23 Nov 2023,2
suplanta,supplant; supplants,231,1200,personal,25 Nov 2023,5
iluminar,to illuminate; illuminate,232,1200,personal,25 Nov 2023,5
dinamiza,dynamite,233,1200,personal,27 Feb 2024,8
sonolentos,sleepy,234,1200,personal,15 Jan 2024,7
fôlego,breath,235,1200,personal,29 Feb 2024,8
contornar,to outline; outline,236,1200,personal,27 Mar 2024,8
despertos,awake,237,1200,personal,2 Dec 2023,5
despejar,to dump; dump,238,1200,personal,8 Dec 2023,7
latir,to bark; bark,239,1200,personal,1 Mar 2024,8
cães,dogs,240,1200,personal,1 Mar 2024,8
arraigados,rooted,241,1200,personal,29 Feb 2024,8
dicas,tips,242,1200,personal,25 Nov 2023,7
evoluiu,evolved,243,1200,personal,1 Mar 2024,8
síntese,synthesis,244,1200,personal,1 Mar 2024,8
enraizado,rooted,245,1200,personal,4 Mar 2024,8
apressado,hasty,246,1200,personal,28 Nov 2023,4
coleta,collect,247,1200,personal,15 Jan 2024,7
bexiga,bladder,248,1200,personal,15 Jan 2024,7
metida,stuck up,249,1200,personal,24 Nov 2023,7
acendemos,we light up,250,1200,personal,15 Jan 2024,7
o sol se põe,the sun goes down,251,1200,personal,29 Feb 2024,8
ondulante,undulating,252,1200,personal,2 Mar 2024,8
inveja,envy,253,1200,personal,25 Nov 2023,5
posses,possessions,254,1200,personal,29 Feb 2024,8
bufar,to snort; snort,255,1200,personal,2 Mar 2024,8
às pressas,in a rush,256,1200,personal,29 Feb 2024,8
desjejum,breakfast,257,1200,personal,26 Nov 2023,7
estroboscópica,strobe,258,1200,personal,26 Nov 2023,7
noite adentro,into the night,259,1200,personal,29 Feb 2024,8
diversas,diverse,260,1200,personal,26 Nov 2023,7
repleto,full,261,1200,personal,1 Mar 2024,8
puxado,pulled,262,1200,personal,27 Mar 2024,8
padrão,standard,263,1200,personal,2 Mar 2024,8
estafa,burnout,264,1200,personal,15 Jan 2024,7
marinheiros,sailors,265,1200,personal,2 Mar 2024,8
apanha,crash,266,1200,personal,21 Dec 2023,7
despertador,alarm clock,267,1200,personal,2 Mar 2024,8
circadiano,circadian,268,1200,personal,2 Mar 2024,8
aconchegante,cozy,269,1200,personal,27 Mar 2024,8
truques,tricks,270,1200,personal,2 Mar 2024,8
freio,brake,271,1200,personal,29 Feb 2024,8
ânimo,mood,272,1200,personal,2 Mar 2024,8
sensatez,wisdom,273,1200,personal,4 Mar 2024,8
virose,virus,274,1200,personal,2 Dec 2023,5
perícia,expertise,275,1200,personal,28 Nov 2023,7
etiqueta,tag,276,1200,personal,26 Nov 2023,7
ensacadas,bagged,277,1200,personal,1 Mar 2024,8
mola,spring,278,1200,personal,27 Nov 2023,7
hipoteca,mortgage,279,1200,personal,4 Mar 2024,8
superfície,surface,280,1200,personal,1 Mar 2024,8
saudar,to salute; salute,281,1200,personal,1 Mar 2024,8
parceiro,partner,282,1200,personal,3 Mar 2024,8
tocamos a vida,we touch the life,283,1200,personal,3 Mar 2024,8
seres,beings,284,1200,personal,1 Mar 2024,8
eficaz,effective,285,1200,personal,2 Dec 2023,5
desmaiando,passing out,286,1200,personal,2 Dec 2023,5
interessa,interest,287,1200,personal,3 Mar 2024,8
compromisso,commitment,288,1200,personal,20 Jan 2024,7
delineado,outlined,289,1200,personal,27 Nov 2023,6
cabeceira,headboard,290,1200,personal,4 Mar 2024,8
abordo,on board,291,1200,personal,15 Jan 2024,7
lares,homes,292,1200,personal,4 Mar 2024,8
empregadores,employers,293,1200,personal,4 Mar 2024,8
cargo,office,294,1200,personal,15 Jan 2024,7
desmaiar,to faint; faint; to pass out; pass out,295,1200,personal,7 Jul 2024,9
iniciados,initiates,296,1200,personal,28 Nov 2023,7
empreendimento,entrepreneurship,297,1200,personal,4 Mar 2024,8
o bastante,enough,298,1200,personal,4 Mar 2024,8
esmoreceu,faded,299,1200,personal,21 Dec 2023,7
impunham,imposed,300,1200,personal,4 Mar 2024,8
proporcionar,to provide; provide,301,1200,personal,4 Mar 2024,8
luxuosas,luxurious,302,1200,personal,4 Mar 2024,8
promover,to promote; promote,303,1200,personal,4 Mar 2024,8
consumidores,consumers,304,1200,personal,4 Mar 2024,8
vias,ways,305,1200,personal,4 Mar 2024,8
fornecando,providing,306,1200,personal,4 Mar 2024,8
gestão,management,307,1200,personal,28 Nov 2023,7
provocar,to tease; tease,308,1200,personal,2 Dec 2023,5
colchão,mattress,309,1200,personal,4 Mar 2024,8
lesão,lesion,310,1200,personal,4 Mar 2024,8
desempenho,performance,311,1200,personal,4 Mar 2024,8
acaso,chance,312,1200,personal,4 Mar 2024,8
abordagem,approach,313,1200,personal,4 Mar 2024,8
distúrbio,disorder,314,1200,personal,4 Mar 2024,8
soníferos,sleepy,315,1200,personal,28 Nov 2023,7
folga,day off,316,1200,personal,4 Mar 2024,8
impunes,unpunished,317,1200,personal,28 Nov 2023,4
até meados,even mid,318,1200,personal,2 Dec 2023,5
holofote,spotlight,319,1200,personal,20 Mar 2024,8
em si,in itself,320,1200,personal,4 Mar 2024,8
padrões,standards,321,1200,personal,4 Mar 2024,8
subestimamos,we underestimate,322,1200,personal,4 Mar 2024,8
torcia,twisted,323,1200,personal,4 Mar 2024,8
desperdice,waste,324,1200,personal,4 Mar 2024,8
cronotipo,chronotype,325,1200,personal,4 Mar 2024,8
ediçao,edition,326,1200,personal,4 Mar 2024,8
apoio,support,327,1200,personal,4 Mar 2024,8
chocou,shocked,328,1200,personal,4 Mar 2024,8
desafiou,challenged,329,1200,personal,4 Mar 2024,8
assober,to blow up; blow up,330,1200,personal,23 Nov 2023,2
largata,wide,331,1200,personal,27 Mar 2024,8
fugaz,fleeting,332,1200,personal,20 Mar 2024,8
dádiva,gift,333,1200,personal,4 Mar 2024,8
remonte,reassembly,334,1200,personal,23 Nov 2023,2
coçar,to scratch; scratch,335,1200,personal,27 Mar 2024,8
empoleiravam,pounded,336,1200,personal,22 Jan 2024,7
vislumbre,glimpse,337,1200,personal,4 Mar 2024,8
sequer,even,338,1200,personal,20 Mar 2024,8
arrepio,chill,339,1200,personal,29 Nov 2023,6
camada,layer,340,1200,personal,20 Mar 2024,8
o golpe,the blow,341,1200,personal,4 Mar 2024,8
gargalha,laugh,342,1200,personal,20 Mar 2024,8
agarrou,grabbed,343,1200,personal,4 Mar 2024,8
esfregou,rubbed,344,1200,personal,20 Mar 2024,8
surda,deaf,345,1200,personal,6 Mar 2024,8
endireitou,straightened,346,1200,personal,20 Mar 2024,8
gerar,to generate; generate,347,1200,personal,27 Mar 2024,8
reivindicar,to claim; claim,348,1200,personal,28 Nov 2023,7
pomada,ointment,349,1200,personal,4 Mar 2024,8
misericórdia,compassion,350,1200,personal,4 Mar 2024,8
persuadir,to persuade; persuade,351,1200,personal,6 Mar 2024,8
elogiar,to praise; praise,352,1200,personal,4 Mar 2024,8
pálida,pale,353,1200,personal,4 Mar 2024,8
um chumbo,a lead,354,1200,personal,4 Mar 2024,8
derritido,depleted,355,1200,personal,21 Dec 2023,7
inundação,inundation,356,1200,personal,4 Mar 2024,8
sucumbiram,succumbed,357,1200,personal,20 Mar 2024,8
flacido,flacid,358,1200,personal,2 Dec 2023,7
rodopiante,folding,359,1200,personal,23 Jan 2024,7
austera,austere,360,1200,personal,4 Mar 2024,8
pesadelo,nightmare,361,1200,personal,6 Mar 2024,8
debilmente,weakly,362,1200,personal,30 Nov 2023,7
emaranhado,tangled,363,1200,personal,27 Mar 2024,8
rezou,prayed,364,1200,personal,6 Mar 2024,8
peneria,penetrate,365,1200,personal,22 Nov 2023,2
romperam,broke,366,1200,personal,20 Mar 2024,8
espuma,foam,367,1200,personal,7 Mar 2024,8
cacos,shards,368,1200,personal,23 Dec 2023,7
deslizar,to slide; slide,369,1200,personal,20 Mar 2024,8
salto,heel,370,1200,personal,27 Mar 2024,8
esfarrapadas,tattered,371,1200,personal,28 Nov 2023,4
varridos,swept,372,1200,personal,7 Mar 2024,8
convocação,convocation,373,1200,personal,4 Mar 2024,8
debatia,debated,374,1200,personal,1 Dec 2023,7
ceder,to cede; cede,375,1200,personal,7 Mar 2024,8
implicaveis,implicable,376,1200,personal,12 Dec 2023,6
balançou,balanced,377,1200,personal,21 Dec 2023,7
cegando,blinding,378,1200,personal,7 Mar 2024,8
endurecida,hardened,379,1200,personal,7 Mar 2024,8
espiou,spied,380,1200,personal,7 Mar 2024,8
pavor,dread,381,1200,personal,6 Mar 2024,8
saudou,greeted,382,1200,personal,2 Dec 2023,5
represa,dam,383,1200,personal,20 Mar 2024,8
beliscando,pinching,384,1200,personal,20 Mar 2024,8
prado,meadow,385,1200,personal,4 Mar 2024,8
mergulhar,to dive; dive,386,1200,personal,29 Nov 2023,7
arranhar,to scratch; scratch,387,1200,personal,4 Mar 2024,8
massa de fogo,mass of fire,388,1200,personal,4 Mar 2024,8
varrer,to sweep; sweep,389,1200,personal,4 Mar 2024,8
tortuosas,tortuous,390,1200,personal,4 Mar 2024,8
baque,thud,391,1200,personal,4 Mar 2024,8
estrondo,crash,392,1200,personal,13 Dec 2023,6
desastroso,disastrous,393,1200,personal,7 Mar 2024,8
gemeu,moan,394,1200,personal,23 Nov 2023,2
mortais,mortals,395,1200,personal,2 Dec 2023,5
aves,poultry,396,1200,personal,4 Mar 2024,8
defensores,defenders,397,1200,personal,1 Dec 2023,7
vislumbrar,to glimpse; glimpse,398,1200,personal,7 Mar 2024,8
tempestade,storm,399,1200,personal,1 Dec 2023,7
espreitar,to peek; peek,400,1200,personal,28 Nov 2023,7
envenenou,poisoned,401,1200,personal,7 Mar 2024,8
adaga,dagger,402,1200,personal,4 Mar 2024,8
esbugalhados,bulging,403,1200,personal,6 Dec 2023,7
morcego,bat,404,1200,personal,6 Mar 2024,8
telhado,roof,405,1200,personal,20 Mar 2024,8
estremeceu,shudder,406,1200,personal,21 Dec 2023,7
lentos,slow,407,1200,personal,20 Mar 2024,8
temer,to fear; fear,408,1200,personal,20 Mar 2024,8
redondos,round,409,1200,personal,3 Dec 2023,7
corça,doe,410,1200,personal,23 Jan 2024,7
padronizadas,standardized,411,1200,personal,20 Mar 2024,8
maligno,malignant,412,1200,personal,20 Mar 2024,8
adornasse,adorn,413,1200,personal,20 Mar 2024,8
emaranhado de ramos frágeis,tangle of fragile branches,414,1200,personal,20 Mar 2024,8
sacudiu,shook,415,1200,personal,23 Nov 2023,2
agradou,pleased,416,1200,personal,21 Dec 2023,7
íngremes,steep,417,1200,personal,28 Nov 2023,4
subjugar,to subjugate; subjugate,418,1200,personal,28 Nov 2023,4
enxurrada,flash flood,419,1200,personal,27 Mar 2024,8
feras,beasts,420,1200,personal,20 Mar 2024,8
curral,pen,421,1200,personal,20 Mar 2024,8
camadas,layers,422,1200,personal,20 Mar 2024,8
indomado,untamed,423,1200,personal,20 Mar 2024,8
portentos,wonders,424,1200,personal,23 Jan 2024,7
augúrio,omen,425,1200,personal,2 Dec 2023,7
zombaria,mockery,426,1200,personal,20 Mar 2024,8
escurdo,dull,427,1200,personal,27 Mar 2024,8
desperdiçar,to waste; waste,428,1200,personal,20 Mar 2024,8
trará,will bring,429,1200,personal,20 Mar 2024,8
travou,locked,430,1200,personal,28 Nov 2023,4
encrenqueira,bare,431,1200,personal,17 Jan 2024,7
febre,fever,432,1200,personal,20 Mar 2024,8
leito do riacho,creek bed,433,1200,personal,28 Nov 2023,4
pedregulho,boulder,434,1200,personal,28 Nov 2023,4
lacuna,gap,435,1200,personal,20 Mar 2024,8
desviar,to dodge; dodge,436,1200,personal,27 Mar 2024,8
proferindo,uttering,437,1200,personal,22 Jan 2024,7
crista,Christian,438,1200,personal,20 Mar 2024,8
isca,bait,439,1200,personal,20 Mar 2024,8
gansos,geese,440,1200,personal,20 Mar 2024,8
aprisionar,to imprison; imprison,441,1200,personal,20 Mar 2024,8
barragem,dam,442,1200,personal,20 Mar 2024,8
orla,border,443,1200,personal,20 Mar 2024,8
avidez,greed,444,1200,personal,20 Mar 2024,8
precipitada,hasty,445,1200,personal,22 Nov 2023,2
peregrina,peregrine,446,1200,personal,5 Dec 2023,7
advertira,warned,447,1200,personal,28 Nov 2023,4
palha seca,dry straw,448,1200,personal,20 Mar 2024,8
fileira,line,449,1200,personal,20 Mar 2024,8
grunhido,grunt,450,1200,personal,7 Dec 2023,7
rosnado,growl,451,1200,personal,27 Mar 2024,8
balido do gado,bleating of cattle,452,1200,personal,20 Mar 2024,8
ultrajado,outrageous,453,1200,personal,5 Dec 2023,7
espantar,to scare away; scare away,454,1200,personal,25 Nov 2023,5
vespas,wasps,455,1200,personal,27 Mar 2024,8
vassouras,broomsticks,456,1200,personal,28 Nov 2023,4
bengala,walking stick,457,1200,personal,27 Mar 2024,8
atrair,to attract; attract,458,1200,personal,20 Mar 2024,8
fama,fame,459,1200,personal,20 Mar 2024,8
brasões,coats of arms,460,1200,personal,27 Mar 2024,8
caçar,to hunt; hunt,461,1200,personal,29 Nov 2023,7
fértil,fertile,462,1200,personal,20 Mar 2024,8
legado,legacy,463,1200,personal,28 Mar 2024,8
proeza,prowess,464,1200,personal,22 Jan 2024,7
represa afiada,sharp dam,465,1200,personal,27 Mar 2024,8
peregrinação,pilgrimage,466,1200,personal,25 Nov 2023,5
ligada,linked,467,1200,personal,27 Mar 2024,8
intransigente,uncompromising,468,1200,personal,7 Dec 2023,7
cedeu,ceded,469,1200,personal,8 Dec 2023,7
armadilha,trap,470,1200,personal,22 Jan 2024,7
batedor,scout,471,1200,personal,20 Mar 2024,8
mordedou,bitten,472,1200,personal,27 Mar 2024,8
risadas,laughter,473,1200,personal,27 Mar 2024,8
forasteiro,outsider,474,1200,personal,27 Mar 2024,8
reivindicação,claim,475,1200,personal,28 Nov 2023,4
zombou,mocked,476,1200,personal,2 Dec 2023,6
reivindicou,claimed,477,1200,personal,20 Mar 2024,8
emaranhados,tangled,478,1200,personal,20 Mar 2024,8
vagando,wandering,479,1200,personal,27 Mar 2024,8
gota,drop,480,1200,personal,27 Mar 2024,8
golpasse,hit,481,1200,personal,27 Mar 2024,8
umidade,moisture,482,1200,personal,23 Nov 2023,2
mancar,to limp; limp,483,1200,personal,23 Jan 2024,7
esticado,stretched out,484,1200,personal,29 Nov 2023,7
mordia,bite,485,1200,personal,20 Mar 2024,8
curandeiro,healer,486,1200,personal,28 Mar 2024,8
detivesse,hold,487,1200,personal,21 Dec 2023,7
despertasse,wake up,488,1200,personal,21 Dec 2023,7
punhal,dagger,489,1200,personal,23 Jan 2024,7
muleta,crutch,490,1200,personal,28 Mar 2024,8
galhou,branched,491,1200,personal,28 Mar 2024,8
